"Sex","model","round","age","incidence","lb","ub","irr","year","py","newinf","newinf.lb","newinf.ub"
"Female","tensorproductgam",9,32,0.0127563367563077,0.00968155903387199,0.0168076367526158,1.20230013950825,2003,1,1.17723124170576,0.893472317392141,1.55110949659097
"Male","tensorproductgam",9,45,0.00614753896288081,0.00384497574871553,0.00982899185066712,1.11582462162425,2003,1,0.190503919374701,0.119150599037071,0.30458716607737
"Female","tensorproductgam",9,30,0.0138125142037467,0.0108058466268645,0.0176557705487316,1.14393645176386,2003,1,1.6338407538423,1.27819109094212,2.08844798546389
"Female","tensorproductgam",9,35,0.0112801868308224,0.00834751683333285,0.0152431696130472,1.21990706499634,2003,1,0.820671969621046,0.607310249714778,1.1089924499677
"Female","tensorproductgam",9,23,0.0184206615665003,0.0150256350272934,0.0225827908059246,1.04535412998624,2003,1,3.18673608509588,2.59940356485545,3.9067757747793
"Male","tensorproductgam",9,36,0.0117838169540865,0.0090672449100105,0.0153142816131626,1.06609682766841,2003,1,0.86374538544204,0.664622590473829,1.1225259290999
"Female","tensorproductgam",9,34,0.0118250451179588,0.00881414662933956,0.0158644617479253,1.22521830599285,2003,1,0.763992863479607,0.569464645192038,1.02497161215502
"Female","tensorproductgam",9,26,0.0169233795273346,0.0137597381564019,0.0208144058681055,1.03202350000124,2003,1,2.38982827989333,1.94307592741647,2.93929801033132
"Female","tensorproductgam",9,18,0.0155091738490064,0.0113767800073859,0.0211425792994633,1.38148374497466,2003,1,1.89716405866651,1.39166781825396,2.58627196683452
"Female","tensorproductgam",9,42,0.00667913715926579,0.00441392044905737,0.0101068593571532,0.948630460888598,2003,1,0.550919704096154,0.364076330477087,0.833650789557424
"Female","tensorproductgam",9,25,0.0176266904539715,0.0143501843728578,0.0216513048395248,1.02261469597267,2003,1,2.95752354993465,2.40776953220216,3.63280016273737
"Male","tensorproductgam",9,15,0.00233113070123013,0.00113747466874233,0.00477739900109255,0.958361321826561,2003,1,NA,NA,NA
"Male","tensorproductgam",9,16,0.00300011364176556,0.00168700024163832,0.00533531747142302,0.963243342435207,2003,1,0.127353714985208,0.0716125365928297,0.226482254255989
"Male","tensorproductgam",9,40,0.00955527692441393,0.00684027354075855,0.0133479043722734,1.08791834912599,2003,1,0.304988172896375,0.218329886806009,0.426042384610941
"Male","tensorproductgam",9,46,0.00546033818039798,0.00325142529965649,0.00916991482088236,1.12149137324226,2003,1,0.16432939944299,0.097851955167244,0.275969463002956
